Index,Text,Label,File_Name,P_Beach,P_City,P_Culture,P_Nature,P_Snow
1,"Agadir is a beautiful coastal city located in southwestern Morocco. It is famous for its stunning beaches, warm climate and lively culture. As a tourist, there is so much to see and do here. Whether you want to relax and soak up the sun on the beach, explore the city's marketplaces and historic landmarks or indulge in traditional Moroccan cuisine, Agadir has it all. The sunsets here are breathtaking and there are plenty of outdoor activities to indulge in such as surfing, jet-skiing, and horse riding. Overall, visiting Agadir is an unforgettable experience for any tourist.",Beach,Agadir Morocco ,0.107777,0.890972,0.000546,0.000255,0.00045
2,"AgiosNikolaos is a beautiful coastal town located on the eastern side of Crete. As a tourist, the town offers an ideal combination of traditional Greek culture and modern-day amenities. The picturesque harbor, stunning beaches, and crystal-clear waters create a peaceful atmosphere, perfect for relaxing and soaking up the Mediterranean sun. The town also boasts several historical landmarks such as the Byzantine chapel of St. Nicholas and the Museum of Folk Art and History. The bustling downtown area is filled with restaurants, cafes, and shops, making it a great place to experience Greek cuisine and culture. Overall, AgiosNikolaos is an excellent destination for those seeking a serene getaway with a rich cultural experience.",Beach,AgiosNikolaos Greece ,0.999876,0.000012,0.000077,0.000017,0.000018
3,"Amalfi Coast in Italy is a stunning coastal paradise that is perfect for any touristâs getaway. It is a UNESCO World Heritage Site that boasts breathtaking views of pristine waters, towering cliffs, and lush greenery. The coastline is dotted with charming towns, colorful buildings, and countless streets that invite leisurely strolls. The region is famous for its delectable cuisine, with fresh seafood, pasta dishes, and gelato that are sure to satisfy any palate. Its rich history and culture are also evident in the numerous museums and churches that can be explored. There is no shortage of adventure and relaxation in this picturesque destination.",Beach,AmalfiCoast Italy ,0.99994,0.00001,0.000019,0.000017,0.000013
4,"Ao Nang, Thailand is a stunning tropical destination nestled among towering limestone cliffs and crystal-clear waters. As a tourist, you'll be thrilled with the vibrant energy of the town, from the bustling streets filled with shops and restaurants to the lively nightlife scene. The beauty of the beaches here is unparalleled, with powdery white sand and turquoise water stretching as far as the eye can see. You can enjoy the warm waters by swimming, snorkeling, or even kayaking. The food here is a delicious mix of Thai and international cuisine, and the hospitality of the locals makes for a truly unforgettable experience.",Beach,AoNang Thailand ,0.999819,0.000091,0.000007,0.000074,0.000009
5,"Bali, Indonesia is a paradise for tourists. The island is world-renowned for its stunning beaches, lush landscapes, and cultural richness. Visitors are enchanted with its warm climate all year-round, which offers an opportunity to indulge in outdoor activities such as surfing, hiking, and sunbathing. Bali's rich culture is palpable in every corner of the island - fascinating temples and local festivals give visitors a glimpse into the traditional way of life. Bali is also known for its remarkable arts and crafts, including unique textiles and intricate carvings. Tourists are spoilt with a wide array of delicious cuisines and luxurious accommodation options. Bali is a destination that every traveler must visit in their lifetime.",Beach,Bali Indonesia ,0.097054,0.728913,0.092032,0.076028,0.005973
6,"Barbados, Caribbean is a tropical paradise for tourists seeking sun, sand and relaxation. This charming island boasts of crystal clear turquoise waters, world-class beaches, lush green forests, and a rich cultural heritage. Visitors can explore the picturesque towns and villages, enjoy the local cuisine and get acquainted with the friendly locals. Tourists can engage in water sports such as surfing, snorkelling, kayaking, and scuba diving. With a vibrant nightlife, numerous historical landmarks and museums, and a diverse range of art and crafts shops, there is never a dull moment in Barbados. A perfect holiday destination that captures the essence of the Caribbean.",Beach,Barbados Caribbean ,0.999967,0.000012,0.000003,0.000018,0.000001
7,"Barcelona, Spain is a vibrant and lively city full of history, culture, and art. The architecture, from the Gothic Quarter to modern masterpieces like La Sagrada Familia, is breathtaking. The city's beaches are a popular spot to soak up the sun or relax at a seaside cafÃ©. Local markets such as La Boqueria offer a colorful sensory experience with fresh produce, meats, and seafood. The nightlife in Barcelona is vibrant with plenty of bars, clubs, and live music venues to choose from. The city is also known for its delicious cuisine, with traditional tapas and seafood dishes that will tantalize your taste buds. Overall, Barcelona is an incredible destination that has something to offer for everyone.",Beach,Barcelona Spain ,0.999697,0.000284,0.00001,0.000004,0.000005
8,"Biarritz, situated on the southwestern coast of France, is a stunning seaside town often associated with its long stretches of golden beaches, excellent surf spots and breathtaking ocean views. The town is a perfect mix of culture, history, and modern day facilities, with its picturesque villas, boutique shops and gourmet restaurants. Biarritz boasts a charming old town where visitors can explore the architecture, museums and art galleries. A popular destination for outdoor enthusiasts, Biarritz offers a wide range of activities including hiking, cycling, golfing and fishing. Any visitor will appreciate the rich Basque culture and warm hospitality that Biarritz has to offer.",Beach,Biarritz France ,0.99994,0.000018,0.000009,0.000007,0.000027
9,"BoraBora is a little paradise island located in French Polynesia, it is a place that is like no other. With its crystal clear blue waters, pristine white-sand beaches, and picturesque palm trees, it's no wonder why it's known as one of the most beautiful places on earth. BoraBora also has rich cultural heritage that is displayed in the local art and dance performances. You can explore the island's stunning coral reefs while snorkeling or scuba diving or simply relax on the beach with a refreshing cocktail. The resorts on the island also offer an array of water activities such as Jet Skiing, paddle boarding, and parasailing.",Beach,BoraBora FrenchPolynesia ,0.999936,0.000008,0.000008,0.000046,0.000002
10,"Boracay is a stunning tropical island paradise, located in the Philippines. The island is famous for its powder-white sandy beaches, crystal-clear blue waters, and breathtaking sunsets. Tourists flock to Boracay every year to enjoy water activities such as island hopping, jet skiing, snorkeling, and scuba diving. The island also boasts a lively nightlife scene with many bars, restaurants, and clubs to entertain guests. The friendly and hospitable locals add to the charm of this island, making it the perfect place to relax and unwind. Overall, Boracay is a must-visit destination for anyone seeking a slice of paradise.",Beach,Boracay Philippines ,0.999882,0.000006,0.00006,0.000049,0.000004
